ID;LIKES;COMMENTSSHAREDCREATED
27678194634_10154547638079635;81;1;0;2017-02-03T02:16:35+0000
27678194634_10154546186534635;310;8;1;2017-02-02T14:15:02+0000
27678194634_10154543708004635;996;30;1;2017-02-01T14:15:02+0000
27678194634_10154542731309635;401;14;0;2017-02-01T02:15:01+0000
27678194634_10154541390654635;56955;98;3;2017-01-31T14:15:03+0000
27678194634_10154539816109635;828;16;0;2017-01-31T02:27:55+0000
27678194634_10154538056124635;1960;44;2;2017-01-30T14:15:48+0000
27678194634_10154536992324635;344;12;1;2017-01-30T02:31:29+0000
27678194634_10154535682489635;787;12;0;2017-01-29T14:15:04+0000
27678194634_10154533245659635;832;10;1;2017-01-28T14:15:34+0000
27678194634_10154532196884635;377;8;0;2017-01-28T02:15:48+0000
27678194634_10154531002354635;603;3;1;2017-01-27T14:15:02+0000
27678194634_10154529935599635;335;11;3;2017-01-27T02:15:52+0000
27678194634_10154528519939635;366;6;0;2017-01-26T14:15:02+0000
27678194634_10154525653784635;350;12;2;2017-01-25T14:16:18+0000
27678194634_10154524019699635;1193;48;4;2017-01-25T02:59:28+0000
27678194634_10154521658929635;31734;448;3;2017-01-24T14:15:55+0000
27678194634_10154519332369635;806;61;0;2017-01-24T02:18:01+0000
27678194634_10154517135389635;660;9;0;2017-01-23T14:15:03+0000
27678194634_10154513515724635;602;11;1;2017-01-22T14:15:03+0000
27678194634_10154512129184635;529;6;1;2017-01-22T02:15:02+0000
27678194634_10154510309054635;830;14;0;2017-01-21T14:15:02+0000
27678194634_10154507304739635;1838;36;2;2017-01-20T15:06:02+0000
27678194634_10154506072649635;368;10;0;2017-01-20T02:15:05+0000
27678194634_10154504766789635;297;5;2;2017-01-19T14:15:02+0000
27678194634_10154503417234635;716;24;16;2017-01-19T02:33:47+0000
27678194634_10154502001044635;1283;24;2;2017-01-18T14:15:02+0000
27678194634_10154500826439635;345;6;0;2017-01-18T02:15:17+0000
27678194634_10154499472829635;530;5;1;2017-01-17T14:15:03+0000
27678194634_10154496765219635;739;35;2;2017-01-16T14:15:03+0000
27678194634_10154494984389635;303;2;0;2017-01-15T22:15:02+0000
27678194634_10154493875549635;813;64;1;2017-01-15T14:15:03+0000
27678194634_10154492688669635;546;29;10;2017-01-15T02:27:18+0000
27678194634_10154491162404635;4484;41;1;2017-01-14T14:15:03+0000
27678194634_10154489903799635;1057;32;1;2017-01-14T02:15:02+0000
27678194634_10154488393019635;511;18;0;2017-01-13T14:36:03+0000
27678194634_10154486631914635;541;23;11;2017-01-13T02:16:07+0000
27678194634_10154484204944635;417;33;1;2017-01-12T14:44:30+0000
27678194634_10154481727584635;757;55;1;2017-01-12T02:15:02+0000
27678194634_10154480495909635;8127;193;3;2017-01-11T14:33:03+0000
27678194634_10154479877519635;1175;11;0;2017-01-11T06:15:11+0000
27678194634_10154479876049635;671;14;0;2017-01-11T06:14:36+0000
27678194634_10154479484399635;1212;46;2;2017-01-11T02:41:56+0000
27678194634_10154478208269635;483;20;0;2017-01-10T15:08:48+0000
27678194634_10154477032619635;2180;86;4;2017-01-10T02:26:45+0000
27678194634_10154474776764635;10466;66;11;2017-01-09T04:20:33+0000
27678194634_10154473187789635;5251;27;3;2017-01-08T13:33:35+0000
27678194634_10154470751594635;550;7;3;2017-01-07T14:30:03+0000
27678194634_10154469844344635;62666;27;5;2017-01-07T04:37:25+0000
27678194634_10154469227354635;2793;25;4;2017-01-06T21:59:27+0000
27678194634_10154468776114635;675;17;2;2017-01-06T19:04:04+0000
27678194634_10154468437939635;443;8;4;2017-01-06T16:00:44+0000
27678194634_10154468269584635;55142;88;3;2017-01-06T14:30:17+0000
27678194634_10154467483339635;423;10;1;2017-01-06T06:00:03+0000
27678194634_10154467163684635;574;9;2;2017-01-06T03:16:03+0000
27678194634_10154466967724635;367;4;2;2017-01-06T01:18:00+0000
27678194634_10154466248589635;532;13;0;2017-01-05T19:10:07+0000
27678194634_10154465731379635;640;16;3;2017-01-05T14:40:10+0000
27678194634_10154464464644635;6316;84;6;2017-01-05T02:15:02+0000
27678194634_10154464116204635;671;13;3;2017-01-04T22:11:15+0000
27678194634_10154463038374635;94073;119;4;2017-01-04T13:15:02+0000
27678194634_10154461965214635;919;10;2;2017-01-04T03:16:30+0000
